# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Maharashtra,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Manipur,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Meghalaya,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Mizoram,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Nagaland,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Odisha,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Punjab,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Tamil Nadu,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Uttar Pradesh,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
West Bengal,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Andhra Pradesh,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Arunachal Pradesh,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Assam,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Chandigarh,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Chhattisgarh,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Gujarat,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Haryana,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Himachal Pradesh,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Jammu & Kashmir,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Jharkhand,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Karnataka,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Madhya Pradesh,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Maharashtra,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Manipur,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Meghalaya,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Mizoram,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Nagaland,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Odisha,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Punjab,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Uttar Pradesh,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
West Bengal,2005,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Andhra Pradesh,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Arunachal Pradesh,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Assam,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Chandigarh,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Chhattisgarh,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Gujarat,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Himachal Pradesh,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Jammu & Kashmir,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Jharkhand,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Karnataka,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Madhya Pradesh,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Manipur,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Meghalaya,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Mizoram,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Nagaland,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Odisha,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Tamil Nadu,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,NULL,NULL
Uttar Pradesh,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
West Bengal,2006,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Andhra Pradesh,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Arunachal Pradesh,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Assam,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Bihar,2007,HR_Disappearance of Persons,01. Disappearance of Persons,1,0,0
Chhattisgarh,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Gujarat,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Haryana,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Himachal Pradesh,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Jammu & Kashmir,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Karnataka,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Kerala,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Madhya Pradesh,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Maharashtra,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Manipur,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Meghalaya,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Mizoram,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Nagaland,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Odisha,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Tamil Nadu,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Tripura,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Uttar Pradesh,2007,HR_Disappearance of Persons,01. Disappearance of Persons,1,NULL,NULL
West Bengal,2007,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Andhra Pradesh,2008,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
